user_name	user_friends
"#HowWeSevens #Rugby #Tokyo2020 https://t.co/n9ufL4Ubrx"""	1
Choppies Botswana	6
"#greatvalueforyourmoney https://t.co/dxhfnp2qOY"""	0
Reuters India	73
The Peninsula Qatar	228
"https://t.co/QTQQXLW6Yk"""	0
Reuters	1167
Sunil	860
" https://t.co/rigeoezwIl"""	0
Sathish Kumar	1126
"Three time Olympian Vikas Krishan lost toÉ?? https://t.co/YTj8EaTBTz"""	0
Diamond Plaza	35
"Mirabai Chanu has made history at the #TokyoOlympic by winning the first medal for team #India iÉ?? https://t.co/pAgwVoVjQC"""	0
Sky Sports Sverige???????¶	126
"???????¶ 4-2 ???????ß |#SWEAUS |#Tokyo2020?ˇã®¨ https://t.co/uQixRDJ3KP"""	0
Ü??Ü?ètheWeird???¨Çù?ä??ëèêÇÆ?	4994
"#Tokyo2020"""	0
Phanie???ç	526
SAI PAVAN É?ùã?èÉ?ùã?è	4050
"#MirabaiChanu Won Silver in WeightliftÉ?? https://t.co/5So8j9tgb3"""	1
tris	431
Hans Vandendriessche	6219
Sivabalan	15
Kate Nokwe	1065
One more quarter	Twitter for iPhone
Mohammed Sekouty	136
Jamie Kay	33829
Aman Upadhyay	574
"#Tokyo2020"""	0
Sukanta Das ????????	198
"#India first medal at Olympic #Tokyo2020É?? https://t.co/vnqcxBbfgz"""	0
???è?¶???????ê??????	3733
"#Swimming #Tokyo2020 https://t.co/D0eJERp2qj"""	0
Jas	145
Muhit	4995
"Spread virus inÉ?? https://t.co/UbhrFtA8S4"""	0
Kyodo News Sports	272
"https://t.co/WZ6qifwyRL"""	0
HuffPost UK	2167
Rappler Sports	147
ë?ù?Å?ëùù?Å?É??ã?è	463
Maiian Delos Reyes	597
Hrithik Fan Shivam ????????	673
" #Tokyo2020"""	0
Free Press Journal	554
"https://t.co/Z9uNXShJ3E"""	0
Mutwiri Mutuota	705
Sumanben P. Chauhan	60
"What a show Saikhom Mirabai Chanu Heartiest Congratulations to yoÉ?? https://t.co/tjMovZ6RYG"""	0
Ö??Ö??Ö??ÖùÅÖ?˝ Ö??Ö?ÊÖùçÖ??Ö??Ö?ú Öù? Anshul Chavhan	1788
"Vikas Krishan Yadav lost to Japan's Sewonrets Quincy Mensah in men's welterweight Round of 32 by an unanimoÉ?? https://t.co/1yOuniYNWk"""	0
Yaritza Barbosa	1043
JanaSena Party	1
"#Olympics https://t.co/3QoWT6UJj0"""	121
Kyodo News | Japan	150
"https://t.co/B72HQoPrTC"""	0
FIE	442
"Incredible semifinal between Luigi Samele #ITA and Junghwan Kim #KOR with a turnover from 7-12 to 15-12É?? https://t.co/jf5kTgFNLm"""	3
Sanjiv K Pundir	255
"The World No. 2ã?èÉüú clinched thÉ?? https://t.co/FcA9mU0yP8"""	0
Juliet Macur	2345
Prince Juneja	462
"#TeamIndia #Tokyo2020 https://t.co/AVnIBHzbSP"""	0
USA Basketball 3x3	161
"#3x3 #Tokyo2020 https://t.co/ZHrK32CpOQ"""	3
AzadParindey	1774
Joey Lynch	1154
"#Tokyo2020"""	0
Mopedo	4
Nevis Tourism	203
Erdi Pirana	290
"Congratulations Distria Krasniqi and #Kosovo on #Olympics #Tokyo2020É?? https://t.co/uU61Q7xjJG"""	0
GMA Sports	170
Neeraj bhamaniya	294
"#Tokyo2020 https://t.co/aR2RVV7cZU"""	0
jop??t	902
"#Tokyo2020"""	1
Daniel Spring	2300
Lily Franklin	849
Adriatik Kelmendi	1340
Hans Solo	34
Hamizatul	987
Jess	408
Northeast Today	93
"@SChaudhary2002É?? https://t.co/FYDvnLFep9"""	0
SBP Group	187
"Heartfelt congratulations to #MirabaiChanu on behalf of SBP Group for makingÉ?? https://t.co/QXXYT2voH8"""	0
Mary	817
†ê? ã?? †?¶	3211
#OlympicGamesTalk??è?É????ù???ùçÉ?´??????è????Ò	1176
Bachubhai Khabad	93
"What a show Saikhom Mirabai Chanu Heartiest Congratulations to yoÉ?? https://t.co/7RLc34cGfB"""	0
Rob Bamford??è???è???è?	601
Ö??Ö??Ö??Ö?Ò Ö?≠Ö??Ö??Ö??	409
Giarc Nibisna ???˝???????ß	318
"#Badminton  #Tokyo2020É?? https://t.co/sGzKpxZlqJ"""	0
†???ù??†Êü?˙ †Êè†Ê?†?¯ã¨≠•è	2003
"#DanishSiddique #Tokyo2020É?? https://t.co/bjlXzgHFgO"""	0
Karthikeyan Krishnan	214
Atiya Bose	477
"#Tokyo2020 https://t.co/OfMOWQFsBZ"""	0
The FEI	1157
"#Tokyo2020 #Dressage https://t.co/52tFkcr336"""	0
kaa	288
News18.com	170
"Boxing: Vikas Krishan's campaign in welterweight division comes to an end. He loses tÉ?? https://t.co/9h4NFGlqZx"""	0
USA Weightlifting	25455
