user_name	user_verified
David Woods	TRUE
Gautam Adani	TRUE
Gretchen Ho	TRUE
DStv	TRUE
Boxing Federation	TRUE
SEN 1116	TRUE
INQUIRER Sports	TRUE
FIBA3x3 É?≠ã?è #3x3 #Tokyo2020	TRUE
Paolo del Rosario	TRUE
Firstpost Sports	TRUE
The Field	TRUE
Field Hockey Canada	TRUE
International Hockey Federation	TRUE
Boxing Federation	TRUE
Devin Heroux	TRUE
Fentuo Tahiru Fentuo	TRUE
NDTV Sports	TRUE
INQUIRER Sports	TRUE
Daily Mail U.K.	TRUE
World Athletics	TRUE
SuperSport Blitz	TRUE
Selina Wang	TRUE
INQUIRER Sports	TRUE
GMA Sports	TRUE
International Hockey Federation	TRUE
JagranJosh India	TRUE
Philip Martin Matel	TRUE
INQUIRER Sports	TRUE
Italy in Kosovo	TRUE
#JoySports	TRUE
Luisa Morales	TRUE
Rappler Sports	TRUE
Devin Heroux	TRUE
Carlo Singson	TRUE
#AusOpen	TRUE
Aditya Birla Group	TRUE
Philip Martin Matel	TRUE
Luisa Morales	TRUE
#3Sports	TRUE
Rebecca Myers	TRUE
International Hockey Federation	TRUE
#Tokyo2020 for India	TRUE
Outlook Magazine	TRUE
UN Women	TRUE
The Philippine Star	TRUE
MP Rajkumar chahar	TRUE
India.com	TRUE
Luisa Morales	TRUE
Oneindia News	TRUE
The Age	TRUE
The Field	TRUE
BBC Sport	TRUE
Rappler Sports	TRUE
FIE	TRUE
International Hockey Federation	TRUE
Caden Helmers	TRUE
Jacqueline Doorey	TRUE
IndianGolfUnion	TRUE
ANI Digital	TRUE
Natalie Whiting	TRUE
IndiaToday	TRUE
Field Hockey Canada	TRUE
Peter Helliar	TRUE
The Independent	TRUE
Daily Star Sport	TRUE
Nancy Gillen	TRUE
Chinese Embassy in Fiji	TRUE
Arsenal Women	TRUE
International Hockey Federation	TRUE
Olympics	TRUE
Daily Mail Online	TRUE
Petrit Selimi	TRUE
FIG	TRUE
UNHCR United Kingdom	TRUE
ESPN Australia & NZ	TRUE
???? ???≠???≠?ú?≠?¯ | President of the Republic of Armenia	TRUE
International Surfing Association	TRUE
FC Bayern Frauen	TRUE
The FEI	TRUE
247 Nigeria News Update	TRUE
Dehradun Congress	TRUE
BBC Sport	TRUE
Team GB	TRUE
Field Hockey Canada	TRUE
Phil Lutton	TRUE
Eryk Bagshaw	TRUE
Suzy Wrack	TRUE
INQUIRER Sports	TRUE
Indy Football	TRUE
BBC Sport Scotland	TRUE
INEOS Grenadiers	TRUE
Derby City Council	TRUE
Olympics	TRUE
Olyroos	TRUE
Vishnu Prasad	TRUE
The National Sport	TRUE
ABC SPORT	TRUE
Juventus Women	TRUE
Mikey Nicholson	TRUE
Vikram Misri	TRUE
Boxing Federation	TRUE
Thums Up	TRUE
Phil Lutton	TRUE
International Hockey Federation	TRUE
Vaitheeswaran K	TRUE
Melissa Hoyer	TRUE
Field Hockey Canada	TRUE
International Hockey Federation	TRUE
#AsianCup2023	TRUE
GMA Sports	TRUE
SuperSport Blitz	TRUE
UCI	TRUE
TIMES NOW	TRUE
Rappler	TRUE
Graham Ruthven	TRUE
Westfield W-League	TRUE
Matt Young	TRUE
FIFA Women's World Cup	TRUE
Alibaba Cloud	TRUE
Rappler	TRUE
